
//
// Armor techs
//
ARMOR_NAME       | Technologies des blindages
COMPUTER_8_NAME    | Ordinateur de Combat Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Niveau d'attaque VIII
COMPUTER_8_DETAIL  | Augmente la précision de l'arme au niveau 8.

COMPUTER_9_NAME    | Ordinateur de Combat Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Niveau d'attaque IX
COMPUTER_9_DETAIL  | Augmente la précision de l'arme au niveau 9.

COMPUTER_10_NAME   | Ordinateur de Combat Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Niveau d'attaque X
COMPUTER_10_DETAIL | Augmente la précision de l'arme au niveau 10.

COMPUTER_11_NAME   | Ordinateur de Combat Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Niveau d'attaque XI
COMPUTER_11_DETAIL | Augmente la précision de l'arme au niveau 11.
COMPUTER_11_INFO   | Il s'agit de l'ordinateur de combat le plus performant.


//
// Battle Suit techs for ground combat
//
BATTLESUIT_NAME      | Technologies des armures de combats au sol.
BATTLESUIT_DETAIL    | Donne un bonus de combat au sol :<br>+10 pour les tenues de combat (niveau 11)<br>+20 pour les exosquelettes blindés (niveau 24)<br>+30 pour les armures motorisées (niveau 40)

// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Habit de cuir.
BATTLESUIT_0_DETAIL  | Beau, confortable, mais pas de bonus d'armure.

BATTLESUIT_1_NAME    | Tenue de Combat
BATTLESUIT_1_DETAIL  | Une armure qui non seulement protège mais renforce également la force. Ajoute 10 points aux combats au sol.

BATTLESUIT_2_NAME    | Exosquelette Blindé
BATTLESUIT_2_DETAIL  | Des tenues mobiles avancées qui non seulement augmentent la puissance et augmentent les défenses, mais offrent également un vol limité aux troupes au sol. Ajoute 20 points aux combats au sol.

BATTLESUIT_3_NAME    | Armure motorisée
BATTLESUIT_3_DETAIL  | Combine une grande mobilité, un vol anti-gravité et un blindage lourd pour former l'armure la plus avancée disponible pour les troupes au sol. Ajoute 30 points aux combats au sol.
BATTLESUIT_3_INFO    | Il s'agit de l'armure personnelle la plus performante.


//
// Energy Focus techs for beam weapons
//
BEAMFOCUS_0_NAME    | Concentration à haute énergie
BEAMFOCUS_0_BRIEF   | Ajoute +3 à la portée des armes énergétiques
BEAMFOCUS_0_DETAIL  | Augmente la portée de tir de toutes les armes à énergie de trois.
BEAMFOCUS_0_INFO    | Une Focalisation à haute énergie est un merveilleux complément à toutes les armes à faisceau/tir direct normales dont un vaisseau pourrait être armé.<br>Il augmente toutes leurs portées maximales de trois cases sur l'écran de combat.<br>Cependant, n'oubliez pas que pour chaque case qu'une arme à faisceau tire au-delà de un, +1 est ajouté à la valeur de défense de la cible.

BEAMFOCUS_1_NAME    | Interface Oracle
BEAMFOCUS_1_BRIEF   | Concentrez les armes à faisceau, divisez par deux le bouclier de l'ennemi
BEAMFOCUS_1_DETAIL  | Coordonne toutes les attaques d'armes à faisceau en une rafale simultanée de tir concentré, réduisant de moitié la force du bouclier de l'ennemi.
BEAMFOCUS_1_INFO    | L'interface Oracle est une petite technologie informatique astucieuse qui permet à toutes les armes à faisceau de chaque vaisseau du groupe de frapper simultanément une cible ennemie à un point précis. Son effet est de réduire de moitié les boucliers de la cible ennemie.<br>Notez que les armes qui réduisent déjà de moitié les boucliers ennemis, lorsqu'elles sont complétées par une interface Oracle, les réduiront de moitié deux fois.


//
// Biological antidote techs
//
BIOANTIDOTE_NAME      | Biotoxine et antidote universel
BIOANTIDOTE_DETAIL    | Développer la biotoxine (niveau 17) et les antidotes universels (niveau 36) est essentiel. En effet, de nombreux types de personnalité dans la galaxie utilisent les armes biologiques trop librement, et leurs effets peuvent être dévastateurs à moins que vous n'ayez un remède.<br>Malheureusement, aucun de ces éléments ne réduira les dégâts causés par les attaques biologiques à l'habitabilité d'une planète.

BIOANTIDOTE_0_NAME    | Antidote aux toxines biologiques
BIOANTIDOTE_0_DETAIL  | Réduit les pertes causées par les armes biologiques de 1M par attaque.

BIOANTIDOTE_1_NAME    | Antidote universel
BIOANTIDOTE_1_DETAIL  | Réduit les pertes causées par les armes biologiques de 2M par attaque.


//
// Biological weapon techs
//
BIOWEAPON_NAME        | Armes biologiques
BIOWEAPON_DETAIL      | Comme les bombes, les armes biologiques ont une portée de 1 case et sont conçues exclusivement pour attaquer les planètes. Lorsqu'elles sont larguées, elles ont les mêmes chances de rater leur cible que les bombes. Contrairement aux bombes, la quantité de dégâts infligés par les armes biologiques lorsqu'elles touchent n'est pas déterminée par leur probabilité de toucher. Au lieu de cela, si elles touchent, elles ont une chance égale d'infliger une quantité aléatoire de dégâts, de 1 à leur montant maximum. Ainsi, même si une arme biologique touche à peine, elle peut toujours infliger ses dégâts maximum ; à l'inverse, un jet de touche parfait de 100 peut n'infliger que ses dégâts minimum de 1 point.<br>Il est important de se rappeler que, contrairement à toutes les autres armes, les armes biologiques ne causent pas de dommages collatéraux aux bases de missiles ou aux usines. Au lieu de cela, elles ne font que trois choses :<br>- Éliminer les points de population de la planète ciblée<br>- Réduire sa taille de population maximale<br>- Bouleverser tous les autres empires du jeu.

BIOWEAPON_0_NAME     | Spores mortelles
BIOWEAPON_0_BRIEF    | Arme biologique
BIOWEAPON_0_DETAIL   | Une arme biologique horrible capable de réduire la populations planétaire maximale de 1M par attaque.

BIOWEAPON_1_NAME     | Virus du Malheur
BIOWEAPON_1_BRIEF    | Arme biologique
BIOWEAPON_1_DETAIL   | De redoutables armes biologiques capables de réduire la population planétaire de 2M par attaque.

BIOWEAPON_2_NAME     | Terminateur Bio
BIOWEAPON_2_BRIEF    | Arme biologique
BIOWEAPON_2_DETAIL   | Une arme biologique abominable capable de réduire la population planétaire de 3M par attaque.


//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Générateur de trous noirs
BLACKHOLE_0_DETAIL   | Crée un champ sous-espace qui déforme l'espace normal, créant un trou noir qui détruit 25 % à 100 % des vaisseaux ennemis ou des bases de missiles, moins 2 % par Classe de bouclier.
BLACKHOLE_0_INFO     | L'avantage de cette arme est qu'elle laisse intactes les usines et la population de la planète défendue ; elle ne cause aucun dommage collatéral.<br>Plus précisément, cette arme spéciale ne détruit pas l'habitabilité d'une planète, ni n'incite les autres joueurs à la colère comme le font les armes biologiques. Elle vous permet de vous concentrer sur la destruction des bases de missiles ennemies, tout en laissant leur population intacte pour que vos armées puissent la conquérir afin de pouvoir profiter des avantages des usines que l'ennemi y possède.


//
// Monster Special tech
//
SQUIDINK_0_NAME     | Encre de calmar
SQUIDINK_0_BRIEF    | Spécial monstre
SQUIDINK_0_DETAIL   | Substance enveloppante qui détruit 10 à 30 % des vaisseaux ennemis.

EATSHIPS_0_NAME     | Mange vaisseaux
EATSHIPS_0_BRIEF    | Spécial monstre
EATSHIPS_0_DETAIL   | Peut dévorer une pile complète de vaisseaux spatiaux.

RESISTSPECIAL_0_NAME   | Résiste aux répulseurs
RESISTSPECIAL_0_BRIEF  | Spécial monstre
RESISTSPECIAL_0_DETAIL | Les répulseurs n'ont aucun effet.

RESISTSPECIAL_1_NAME   | Immunisé contre la stase
RESISTSPECIAL_1_BRIEF  | Spécial monstre
RESISTSPECIAL_1_DETAIL | Les cibles sont immunisées contre les effets d'une attaque de champ de stase.


//
// Bomb weapon tech
//
BOMB_NAME       | Bombes
BOMB_DETAIL     | Les bombes n'ont qu'un seul but : attaquer les colonies. Et elles sont très efficaces dans ce domaine. Les bombes sont de cinq types différents et infligent des dégâts croissants (Nucléaire 3-12, Fusion 5-20, Anti-Matière 10-40, Oméga V 20-50, Neutronium 40-70).<br>Notez que chaque support de bombes ne permet que 10 attaques.<br>Les bombes n'ont qu'une portée de 1 case et peuvent rater leur cible lorsqu'une planète est défendue par des bases de missiles. Chaque base a un niveau de défense contre les bombes de 1 plus son indice ECM.

BOMB_0_NAME     | Bombe nucléaire
BOMB_0_BRIEF    | Attaques au sol uniquement
BOMB_0_DETAIL   | Des bombes qui explosent et causent 3 à 12 points de dégâts sur des cibles au sol uniquement.

BOMB_1_NAME     | Bombe à fusion
BOMB_1_BRIEF    | Attaques au sol uniquement
BOMB_1_DETAIL   | Des bombes qui explosent et causent 5 à 20 points de dégâts sur des cibles au sol uniquement.

BOMB_2_NAME     | Bombe anti-matière
BOMB_2_BRIEF    | Attaques au sol uniquement
BOMB_2_DETAIL   | Des bombes qui explosent et infligent 10 à 40 points de dégâts contre des cibles planétaires uniquement.

BOMB_3_NAME     | Bombe Oméga-V
BOMB_3_BRIEF    | Attaques au sol uniquement
BOMB_3_DETAIL   | Des bombes qui explosent et causent 20 à 50 points de dégâts sur des cibles au sol uniquement.

BOMB_4_NAME     | Bombe à neutronium
BOMB_4_BRIEF    | Attaques au sol uniquement
BOMB_4_DETAIL   | Des bombes qui explosent et causent 40 à 70 points de dégâts sur des cibles au sol uniquement.


//
// Cloaking tech
//
CLOAK_0_NAME     | Bouclier occulteur
CLOAK_0_BRIEF    | Rend le vaisseau presque invisible
CLOAK_0_DETAIL   | Les vaisseaux rendus sont presque invisibles jusqu'à ce qu'ils attaquent, améliorant leurs défenses de +5. Les vaisseaux doivent se dévoiler pour attaquer et se recouvrent automatiquement à chaque tour pendant lequel ils n'attaquent pas.
// !!!
// Ne supprimez pas l'espace entre ">" et "=" en raison d'une confusion avec ">=" lequel sera remplacé par "&gt;="
// !!!
CLOAK_0_INFO     | Le bouclier occulteur est une technologie de champ de force de niveau 27 qui ajoute 5 à la défense d'un groupe de vaisseaux contre les attaques d'armes à rayons et à missiles.<br>À l'exception des générateurs de champ de stase, elle n'affecte pas les attaques d'armes spéciales.<br>Les vaisseaux doivent se désocculter pour tirer, mais seront toujours les premiers à tirer. C'est une façon de s'assurer que vous porterez le premier coup contre un ennemi avec une initiative plus élevée. En fait, il perdra même sa capacité de tir de réaction défensive pendant que vous êtes occulté. Les vaisseaux ennemis n'obtiendront pas non plus leur tir de réaction contre un vaisseau qui vient de se désocculter, à condition qu'il ne bouge pas après s'être désocculté. Après un tour sans tirer, les vaisseaux équipés de dispositifs de camouflage se réocculteront automatiquement.<br>Le camouflage est idéal pour les vaisseaux armés d'armes à courte portée (rayons et bombes), car il leur permet de se rapprocher de l'ennemi avec moins de risques. De plus, les vaisseaux camouflés ne peuvent pas être ciblés par les attaques ennemies provenant de générateurs de champ de stase.<br><br> ==> Ces vaisseaux ne sont plus visibles sur la carte de la galaxie.


//
// Cloning tech
//
CLONE_NAME       | Technologies de clonage
CLONE_DETAIL     | Au début du jeu, le coût d'achat d'un point de population est de 20 BC. Une fois la technologie de clonage découverte, ce coût tombe à 10 BC, et seulement à 5 BC avec une technologie de clonage avancée.<br>Ainsi, avec les technologies de clonage, il devient moins cher et plus facile de maintenir les planètes à leur niveau de population maximum ainsi que de remplacer les points de population perdus.

CLONE_0_NAME     | Clonage
CLONE_0_DETAIL   | Permet aux colons bio-conçus d'être cultivés à un taux de 1M par 10 BC.

CLONE_1_NAME     | Clonage avancé
CLONE_1_DETAIL   | Permet aux colons bio-conçus d'être cultivés à un taux de 1M par 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transporteurs de combat
COMBATTRANSPORT_0_DETAIL   | Les transports équipés de ces dispositifs ont 50 % de chances de se téléporter sur les surfaces ennemies avant de pouvoir être attaqués par des vaisseaux et des bases de défense antimissile ennemis.
COMBATTRANSPORT_0_INFO     | Les transporteurs de combat donnent à chaque transport 50 % de chances d'éviter le combat (réduites à 25 % si vous attaquez une faction avec des interdicteurs subspatiaux).<br>Les invasions furtives sont une excellente stratégie à utiliser après avoir découvert cette technologie. Cela est particulièrement vrai lorsque vos troupes terrestres ont un avantage technologique sur un adversaire ou lorsque vous pouvez remplacer votre population plus rapidement qu'eux.


//
// Control Environment tech
//
CONTROLENV_NAME      | Colonisation
CONTROLENV_DETAIL    | Par défaut, toute module de colonisation spéciale peut coloniser une planète de cette hostilité ou d'un niveau inférieur dans la « hiérarchie des hostilités » de Stérile à Irradié. Mais si vous définissez l'option « Restreint », un environnement hostile aura besoin d'une base de colonie de ce type spécifique. Désormais, le module de colonisation irradiée dont vous aurez besoin pour coloniser la planète la plus hostile n'est plus la base de colonie par excellence.<br> Séquence d'hostilité : Stérile, Toundra, Morte, Enfer, Toxique et Irradié.

CONTROLENV_0_NAME    | Maîtrise des environnements normaux
CONTROLENV_0_ITEM    | Module de colonisation standard
CONTROLENV_0_BRIEF   | Autorise les atterrissages sur des planètes standard
CONTROLENV_0_DETAIL  | Permits the colonization of standard planets.

CONTROLENV_1_NAME    | Maîtrise des environnements stériles
CONTROLENV_1_ITEM    | Module de colonisation «stérile»
CONTROLENV_1_BRIEF   | Autorise les atterrissages sur des planètes stériles
CONTROLENV_1_DETAIL  | Permet la colonisation des planètes stériles et moins hostiles.

CONTROLENV_2_NAME    | Maîtrise des environnements toundra
CONTROLENV_2_ITEM    | Module de colonisation «toundra»
CONTROLENV_2_BRIEF   | Autorise les atterrissages sur des planètes toundra
CONTROLENV_2_DETAIL  | Permet la colonisation des planètes toundra et moins hostiles.

CONTROLENV_3_NAME    | Maîtrise des environnements morts
CONTROLENV_3_ITEM    | Module de colonisation «mort»
CONTROLENV_3_BRIEF   | Autorise les atterrissages sur des planètes mortes
CONTROLENV_3_DETAIL  | Permet la colonisation des planètes mortes et moins hostiles.

CONTROLENV_4_NAME    | Maîtrise des environnements infernaux
CONTROLENV_4_ITEM    | Module de colonisation «infernal»
CONTROLENV_4_BRIEF   | Autorise les atterrissages sur des planètes inferno
CONTROLENV_4_DETAIL  | Permet la colonisation des planètes inferno et moins hostiles.

CONTROLENV_5_NAME    | Maîtrise des environnements toxiques
CONTROLENV_5_ITEM    | Module de colonisation «toxique»
CONTROLENV_5_BRIEF   | Autorise les atterrissages sur des planètes toxiques
CONTROLENV_5_DETAIL  | Permet la colonisation des planètes toxiques et moins hostiles.

CONTROLENV_6_NAME    | Maîtrise des environnements irradiés
CONTROLENV_6_ITEM    | Module de colonisation «irradié»
CONTROLENV_6_BRIEF   | Permet les atterrissages sur des planètes irradiées
CONTROLENV_6_DETAIL  | Permet la colonisation des planètes irradiées et moins hostiles.


//
// Deflector Shield tech
//
DEFLECTOR_NAME        | Technologie des Boucliers déflecteurs
DEFLECTOR_DETAIL      | Selon leur niveau, les boucliers déflecteurs peuvent absorber jusqu'à 15 points de dégâts de toutes les attaques. Certaines armes réduisent leur efficacité de moitié et ils sont totalement inefficaces dans les nébuleuses.

// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | Peinture de camouflage
DEFLECTOR_0_ITEM      | Classe 0
DEFLECTOR_0_BRIEF     | N'absorbent rien
DEFLECTOR_0_DETAIL    | Ne protège pas vos vaisseaux.

DEFLECTOR_1_NAME      | Boucliers déflecteurs de Classe I
DEFLECTOR_1_ITEM      | Classe I
DEFLECTOR_1_BRIEF     | Absorbent 1 point
DEFLECTOR_1_DETAIL    | Absorbe 1 point de dégâts de toutes les attaques.

DEFLECTOR_2_NAME      | Boucliers déflecteurs de Classe II
DEFLECTOR_2_ITEM      | Classe II
DEFLECTOR_2_BRIEF     | Absorbent 2 points
DEFLECTOR_2_DETAIL    | Absorbe 2 points de dégâts de toutes les attaques.

DEFLECTOR_3_NAME      | Boucliers déflecteurs de Classe III
DEFLECTOR_3_ITEM      | Classe III
DEFLECTOR_3_BRIEF     | Absorbent 3 points
DEFLECTOR_3_DETAIL    | Absorbe 3 points de dégâts de toutes les attaques.

DEFLECTOR_4_NAME      | Boucliers déflecteurs de Classe IV
DEFLECTOR_4_ITEM      | Classe IV
DEFLECTOR_4_BRIEF     | Absorbent 4 points
DEFLECTOR_4_DETAIL    | Absorbe 4 points de dégâts de toutes les attaques.

DEFLECTOR_5_NAME      | Boucliers déflecteurs de Classe V
DEFLECTOR_5_ITEM      | Classe V
DEFLECTOR_5_BRIEF     | Absorbent 5 points
DEFLECTOR_5_DETAIL    | Absorbe 5 points de dégâts de toutes les attaques.

DEFLECTOR_6_NAME      | Boucliers déflecteurs de Classe VI
DEFLECTOR_6_ITEM      | Classe VI
DEFLECTOR_6_BRIEF     | Absorbent 6 points
DEFLECTOR_6_DETAIL    | Absorbe 6 points de dégâts de toutes les attaques.

DEFLECTOR_7_NAME      | Boucliers déflecteurs de Classe VII
DEFLECTOR_7_ITEM      | Classe VII
DEFLECTOR_7_BRIEF     | Absorbent 7 points
DEFLECTOR_7_DETAIL    | Absorbe 7 points de dégâts de toutes les attaques.

DEFLECTOR_8_NAME      | Boucliers déflecteurs de Classe IX
DEFLECTOR_8_ITEM      | Classe IX
DEFLECTOR_8_BRIEF     | Absorbent 9 points
DEFLECTOR_8_DETAIL    | Absorbe 9 points de dégâts de toutes les attaques.

DEFLECTOR_9_NAME      | Boucliers déflecteurs de Classe XI
DEFLECTOR_9_ITEM      | Classe XI
DEFLECTOR_9_BRIEF     | Absorbent 11 points
DEFLECTOR_9_DETAIL    | Absorbe 11 points de dégâts de toutes les attaques.

DEFLECTOR_10_NAME     | Boucliers déflecteurs de Classe XIII
DEFLECTOR_10_ITEM     | Classe XIII
DEFLECTOR_10_BRIEF    | Absorbent 13 points
DEFLECTOR_10_DETAIL   | Absorbe 13 points de dégâts de toutes les attaques.

DEFLECTOR_11_NAME     | Boucliers déflecteurs de Classe XV
DEFLECTOR_11_ITEM     | Classe XV
DEFLECTOR_11_BRIEF    | Absorbent 15 points
DEFLECTOR_11_DETAIL   | Absorbe 15 points de dégâts de toutes les attaques.
DEFLECTOR_11_INFO     | Il s'agit du bouclier déflecteur le plus performant.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispositif de déplacement
DISPLACEMENT_0_BRIEF  | 1/3 de toutes les attaques ennemies ratent
DISPLACEMENT_0_DETAIL | Déplace aléatoirement les vaisseaux équipés dans et hors de l'espace normal, leur permettant d'éviter 1/3 de toutes les attaques d'armes hors zone.
ISPLACEMENT_0_INFO   | Cette arme spéciale relativement bon marché peut être particulièrement utile pour protéger vos bombardiers...


//
// ECM Jammer tech
//
ECMJAMMER_NAME        | Technologie des contre mesures Electroniques
ECMJAMMER_DETAIL      | Les contre mesures Electroniques contribuent directement à la défense antimissile d'un vaisseau.<br>Les bases de missiles sont équipées de votre meilleure technologie de contre mesures Electroniques.

// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | Aucune contre mesures
ECMJAMMER_0_ITEM      | Aucune
ECMJAMMER_0_BRIEF     | Déf. antimissile 0
ECMJAMMER_0_DETAIL    | Que la force soit avec vous.

ECMJAMMER_1_NAME      | Brouilleurs(ECM) Mark I
ECMJAMMER_1_ITEM      | Brouilleur I
ECMJAMMER_1_BRIEF     | Déf. antimissile 1
ECMJAMMER_1_DETAIL    | Ajoute 1 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_2_NAME      | Brouilleurs(ECM) Mark II
ECMJAMMER_2_ITEM      | Brouilleur II
ECMJAMMER_2_BRIEF     | Déf. antimissile 2
ECMJAMMER_2_DETAIL    | Ajoute 2 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_3_NAME      | Brouilleurs(ECM) Mark III
ECMJAMMER_3_ITEM      | Brouilleur III
ECMJAMMER_3_BRIEF     | Déf. antimissile 3
ECMJAMMER_3_DETAIL    | Ajoute 3 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_4_NAME      | Brouilleurs(ECM) Mark IV
ECMJAMMER_4_ITEM      | Brouilleur IV
ECMJAMMER_4_BRIEF     | Déf. antimissile 4
ECMJAMMER_4_DETAIL    | Ajoute 4 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_5_NAME      | Brouilleurs(ECM) Mark V
ECMJAMMER_5_ITEM      | Brouilleur V
ECMJAMMER_5_BRIEF     | Déf. antimissile 5
ECMJAMMER_5_DETAIL    | Ajoute 5 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_6_NAME      | Brouilleurs(ECM) Mark VI
ECMJAMMER_6_ITEM      | Brouilleur VI
