

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de titanio
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Nivel de ataque XI
COMPUTER_11_DETAIL | Aumenta la precisión del arma al Nivel 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armadura
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Trajes de batalla
BATTLESUIT_1_DETAIL  | Armadura que no solo protege sino que también aumenta la fuerza. Añade 10 a todas las tiradas de combate terrestre.

BATTLESUIT_2_NAME    | Exoesqueleto blindado
BATTLESUIT_2_DETAIL  | Trajes móviles avanzados que no solo aumentan el poder y las defensas, sino que también ofrecen vuelos limitados a las tropas terrestres. Añade 20 a todas las tiradas de combate terrestre..

BATTLESUIT_3_NAME    | Armadura motorizada
BATTLESUIT_3_DETAIL  | Combina alta movilidad, vuelo antigravedad y placas blindadas pesadas para formar la armadura más avanzada disponible para tropas terrestres.. Añade 30 a todas las tiradas de combate terrestre.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Enfoque de alta energía
BEAMFOCUS_0_BRIEF   | Agrega +3 al alcance de armas de energía
BEAMFOCUS_0_DETAIL  | Aumenta en tres el alcance de disparo de todas las armas de energía.

BEAMFOCUS_1_NAME    | Interfaz de oráculo
BEAMFOCUS_1_BRIEF   | Armas de rayos concentrados, reduce a la mitad el escudo del enemigo.
BEAMFOCUS_1_DETAIL  | Coordina todos los ataques con armas de rayos en una ráfaga simultánea de fuego concentrado, reduciendo a la mitad la fuerza del escudo del enemigo..


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antídoto de Biotoxina
BIOANTIDOTE_0_DETAIL  | Reduce las bajas causadas por armas biológicas en 1M por ataque.

BIOANTIDOTE_1_NAME    | Antídoto Universal
BIOANTIDOTE_1_DETAIL  | Reduce las bajas causadas por armas biológicas en 2M por ataque.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Esporas de muerte
BIOWEAPON_0_BRIEF    | Arma biológica
BIOWEAPON_0_DETAIL   | Horribles armas biológicas capaces de reducir las poblaciones planetarias máximas en 1M por ataque.

BIOWEAPON_1_NAME     | Virus de la perdición
BIOWEAPON_1_BRIEF    | Arma biológica
BIOWEAPON_1_DETAIL   | Terribles armas biológicas capaces de reducir las poblaciones planetarias en 2M por ataque.

BIOWEAPON_2_NAME     | Exterminador biológico
BIOWEAPON_2_BRIEF    | Arma biológica
BIOWEAPON_2_DETAIL   | Abominables armas biológicas capaces de reducir las poblaciones planetarias en 3M por ataque.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generador de agujeros negros
BLACKHOLE_0_DETAIL   | Crea un campo subespacial que deforma el espacio normal, creando un agujero negro que destruye del 25 % al 100 % de las naves o bases de misiles enemigas, menos el 2 % por clase de escudo.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bomba nuclear
BOMB_0_BRIEF    | Solo ataques terrestres
BOMB_0_DETAIL   | Bombas que explotan con 3-12 puntos de daño solo en objetivos terrestres.

BOMB_1_NAME     | Bomba de fusión
BOMB_1_BRIEF    | Solo ataques terrestres
BOMB_1_DETAIL   | Bombas que explotan con 5-20 puntos de daño solo en objetivos terrestres.

BOMB_2_NAME     | Bomba de antimateria
BOMB_2_BRIEF    | Solo ataques terrestres
BOMB_2_DETAIL   | Bombas que explotan con 10-40 puntos de daño solo en objetivos terrestres..

BOMB_3_NAME     | Bomba de omega-v
BOMB_3_BRIEF    | Solo ataques terrestres
BOMB_3_DETAIL   | Bombas que explotan con 20-50 puntos de daño solo en objetivos terrestres.

BOMB_4_NAME     | Bomba de neutronio
BOMB_4_BRIEF    | Solo ataques terrestres
BOMB_4_DETAIL   | Bombas que explotan con 40-70 puntos de daño solo en objetivos terrestres.



//
// Cloaking tech
//
CLOAK_0_NAME     | Dispositivo de camuflaje
CLOAK_0_BRIEF    | Hace que la nave sea casi invisible
CLOAK_0_DETAIL   | Hace que la nave sea casi invisible hasta que ataca, mejorando sus defensas en +5. Las naves deben quitarse el camuflaje para atacar y se volverán a esconder automáticamente en cualquier turno en el que no ataquen.


//
// Cloning tech
//
CLONE_0_NAME     | Clonación
CLONE_0_DETAIL   | Permite que los colonos creados con bioingeniería se cultiven a una tasa de 1M por 10 BC.

CLONE_1_NAME     | Advanced Cloning
CLONE_1_DETAIL   | Permite que los colonos creados con bioingeniería se cultiven a una tasa de 1M por 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transportadores de combate
COMBATTRANSPORT_0_DETAIL   | Los transportes equipados con estos dispositivos tienen un 50 % de posibilidades de descender sobre superficies enemigas antes de que puedan ser atacados por barcos enemigos y bases de defensa antimisiles.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Ambiente Normal Controlado
CONTROLENV_0_ITEM    | Base de colonia Estándar
CONTROLENV_0_BRIEF   | Permite aterrizajes en planetas Normales
CONTROLENV_0_DETAIL  | Permite la colonización de planetas estándar.

CONTROLENV_1_NAME    | Ambiente Estéril controlado
CONTROLENV_1_ITEM    | Base de colonia Estéril
CONTROLENV_1_BRIEF   | Permite aterrizajes en planetas Estériles
CONTROLENV_1_DETAIL  | Permite la colonización de planetas Estériles y menos hostiles.

CONTROLENV_2_NAME    | Ambiente Tundra controlado
CONTROLENV_2_ITEM    | Base de colonia Estéril
CONTROLENV_2_BRIEF   | Permite aterrizajes en planetas Tundra
CONTROLENV_2_DETAIL  | Permite la colonización de planetas Tundra y menos hostiles.

CONTROLENV_3_NAME    | Ambiente Muerto controlado
CONTROLENV_3_ITEM    | Base de colonia Muerta
CONTROLENV_3_BRIEF   | Permite aterrizajes en planetas Muertos
CONTROLENV_3_DETAIL  | Permite la colonización de planetas Muertos y menos hostiles.

CONTROLENV_4_NAME    | Ambiente Infierno controlado
CONTROLENV_4_ITEM    | Base de colonia Infierno
CONTROLENV_4_BRIEF   | Permite aterrizajes en planetas Infierno
CONTROLENV_4_DETAIL  | Permite la colonización de planetas Infierno y menos hostiles.

CONTROLENV_5_NAME    | Ambiente Tóxico controlado
CONTROLENV_5_ITEM    | Base de colonia Tóxica
CONTROLENV_5_BRIEF   | Permite aterrizajes en planetas Tóxico
CONTROLENV_5_DETAIL  | Permite la colonización de planetas Tóxicos y menos hostiles.

CONTROLENV_6_NAME    | Ambiente Irradiado controlado
CONTROLENV_6_ITEM    | Base de colonia Irradiada 
CONTROLENV_6_BRIEF   | Permite aterrizajes en planetas Irradiaos
CONTROLENV_6_DETAIL  | Permite la colonización de planetas Irradiados y menos hostiles.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Escudos deflectores de clase I
DEFLECTOR_1_ITEM      | Clase I
DEFLECTOR_1_BRIEF     | Absorbe 1 golpe
DEFLECTOR_1_DETAIL    | Absorbe 1 punto de daño de todos los ataques.

DEFLECTOR_2_NAME      | Escudos deflectores de clase II
DEFLECTOR_2_ITEM      | Clase II
DEFLECTOR_2_BRIEF     | Absorbe 2 golpes
DEFLECTOR_2_DETAIL    | Absorbe 2 puntos de daño de todos los ataques.

DEFLECTOR_3_NAME      | Escudos deflectores de clase III
DEFLECTOR_3_ITEM      | Clase III
DEFLECTOR_3_BRIEF     | Absorbe 3 golpes
DEFLECTOR_3_DETAIL    | Absorbe 3 puntos de daño de todos los ataques.

DEFLECTOR_4_NAME      | Escudos deflectores de clase IV
DEFLECTOR_4_ITEM      | Clase IV
DEFLECTOR_4_BRIEF     | Absorbe 4 golpes
DEFLECTOR_4_DETAIL    | Absorbe 4 puntos de daño de todos los ataques.

DEFLECTOR_5_NAME      | Escudos deflectores de clase V
DEFLECTOR_5_ITEM      | Clase V
DEFLECTOR_5_BRIEF     | Absorbe 5 golpes
DEFLECTOR_5_DETAIL    | Absorbe 5 puntos de daño de todos los ataques.

DEFLECTOR_6_NAME      | Escudos deflectores de clase VI
DEFLECTOR_6_ITEM      | Clase VI
DEFLECTOR_6_BRIEF     | Absorbe 6 golpes
DEFLECTOR_6_DETAIL    | Absorbe 6 puntos de daño de todos los ataques.

DEFLECTOR_7_NAME      | Escudos deflectores de clase VII
DEFLECTOR_7_ITEM      | Clase VII
DEFLECTOR_7_BRIEF     | Absorbe 7 golpes
DEFLECTOR_7_DETAIL    | Absorbe 7 puntos de daño de todos los ataques.

DEFLECTOR_8_NAME      | Escudos deflectores de clase IX
DEFLECTOR_8_ITEM      | Clase IX
DEFLECTOR_8_BRIEF     | Absorbe 9 golpes
DEFLECTOR_8_DETAIL    | Absorbe 9 puntos de daño de todos los ataques.

DEFLECTOR_9_NAME      | Escudos deflectores de clase XI
DEFLECTOR_9_ITEM      | Clase XI
DEFLECTOR_9_BRIEF     | Absorbe 11 golpes
DEFLECTOR_9_DETAIL    | Absorbe 11 puntos de daño de todos los ataques.

DEFLECTOR_10_NAME     | Escudos deflectores de clase XIII
DEFLECTOR_10_ITEM     | Clase XIII
DEFLECTOR_10_BRIEF    | Absorbe 13 golpes
DEFLECTOR_10_DETAIL   | Absorbe 13 puntos de daño de todos los ataques.

DEFLECTOR_11_NAME     | Escudos deflectores de clase XV
DEFLECTOR_11_ITEM     | Clase XV
DEFLECTOR_11_BRIEF    | Absorbe 15 golpes
DEFLECTOR_11_DETAIL   | Absorbe 15 puntos de daño de todos los ataques.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispositivo de desplazamiento
DISPLACEMENT_0_BRIEF  | 1/3 de todos los ataques enemigos fallan
DISPLACEMENT_0_DETAIL | Cambia aleatoriamente las naves equipadas dentro y fuera del espacio normal, lo que les permite evitar 1/3 de todos los ataques con armas fuera del área.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Defensa de misiles 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Bloqueador(CME) Mark I
ECMJAMMER_1_ITEM      | Bloqueador I
ECMJAMMER_1_BRIEF     | Defensa de misiles 1
ECMJAMMER_1_DETAIL    | Agrega 1 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_2_NAME      | Bloqueador(CME) Mark II
ECMJAMMER_2_ITEM      | Bloqueador II
ECMJAMMER_2_BRIEF     | Defensa de misiles 2
ECMJAMMER_2_DETAIL    | Agrega 2 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_3_NAME      | Bloqueador(CME) Mark III
ECMJAMMER_3_ITEM      | Bloqueador III
ECMJAMMER_3_BRIEF     | Defensa de misiles 3
ECMJAMMER_3_DETAIL    | Agrega 3 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_4_NAME      | Bloqueador(CME) Mark IV
ECMJAMMER_4_ITEM      | Bloqueador IV
ECMJAMMER_4_BRIEF     | Defensa de misiles 4
ECMJAMMER_4_DETAIL    | Agrega 4 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_5_NAME      | Bloqueador(CME) Mark V
ECMJAMMER_5_ITEM      | Bloqueador V
ECMJAMMER_5_BRIEF     | Defensa de misiles 5
ECMJAMMER_5_DETAIL    | Agrega 5 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_6_NAME      | Bloqueador(CME) Mark VI
ECMJAMMER_6_ITEM      | Bloqueador VI
ECMJAMMER_6_BRIEF     | Defensa de misiles 6
ECMJAMMER_6_DETAIL    | Agrega 6 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_7_NAME      | Bloqueador(CME) Mark VII
ECMJAMMER_7_ITEM      | Bloqueador VII
ECMJAMMER_7_BRIEF     | Defensa de misiles 7
ECMJAMMER_7_DETAIL    | Agrega 7 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_8_NAME      | Bloqueador(CME) Mark VIII
ECMJAMMER_8_ITEM      | Bloqueador VIII
ECMJAMMER_8_BRIEF     | Defensa de misiles 8
ECMJAMMER_8_DETAIL    | Agrega 8 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_9_NAME      | Bloqueador(CME) Mark IX
ECMJAMMER_9_ITEM      | Bloqueador IX
ECMJAMMER_9_BRIEF     | Defensa de misiles 9
ECMJAMMER_9_DETAIL    | Agrega 9 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)

ECMJAMMER_10_NAME     | Bloqueador(CME) Mark X
ECMJAMMER_10_ITEM     | Bloqueador X
ECMJAMMER_10_BRIEF    | Defensa de misiles 10
ECMJAMMER_10_DETAIL   | Agrega 10 nivel a la defensa contra ataques de misiles enemigos. (Contramedidas electrónicas)


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ecological Restoration
ECORESTORATION_0_DETAIL | Elimina 2 unidades de residuos industriales por un coste de 1 BC.

ECORESTORATION_1_NAME   | Restauración ecológica mejorada
ECORESTORATION_1_DETAIL | Elimina 3 unidades de residuos industriales por un coste de 1 BC..

ECORESTORATION_2_NAME   | Restauración ecológica realzada
ECORESTORATION_2_DETAIL | Elimina 5 unidades de residuos industriales por un coste de 1 BC..

ECORESTORATION_3_NAME   | Restauración ecológica avanzada
ECORESTORATION_3_DETAIL | Elimina 10 unidades de residuos industriales por un coste de 1 BC.

ECORESTORATION_4_NAME   | Restauración Ecológica Completa
ECORESTORATION_4_DETAIL | Elimina 20 unidades de residuos industriales por un coste de 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Púlsar de energía
PULSAR_0_BRIEF    | Se expande para infligir 1-5 golpes
PULSAR_0_DETAIL   | Una potente modificación del motor que genera un estallido esférico repentino de energía que golpea a todos las naves adyacentes con hasta 5 puntos de daño +1 por cada dos naves.

PULSAR_1_NAME     | Púlsar iónico
PULSAR_1_BRIEF    | Se expande para infligir 2-10 golpes
PULSAR_1_DETAIL   | Una poderosa modificación del motor capaz de generar un estallido esférico de energía escalonada que golpea a todos las naves adyacentes con hasta 10 puntos de daño +1 por nave atacante.


//
// Engine techs
//
ENGINE_0_NAME    | Motores retro 
ENGINE_0_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase I en combate.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Clase 1
ENGINE_0_BRIEF   | Curvatura 1  Def %1
ENGINE_0_BRIEF2  | Velocidad de combate %1

ENGINE_1_NAME    | Motores nucleares
ENGINE_1_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase II en combate.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Clase 2
ENGINE_1_BRIEF   | Curvatura 2  Def %1
ENGINE_1_BRIEF2  | Velocidad de combate %1

ENGINE_2_NAME    | Tracción Subluz 
ENGINE_2_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase III en combate.
ENGINE_2_ITEM    | SubLight
ENGINE_2_ITEM2   | Clase 3
ENGINE_2_BRIEF   | Curvatura 3  Def %1
ENGINE_2_BRIEF2  | Velocidad de combate %1

ENGINE_3_NAME    | Tracción a fusión 
ENGINE_3_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase IV en combate.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Clase 4
ENGINE_3_BRIEF   | Curvatura 4  Def %1
ENGINE_3_BRIEF2  | Velocidad de combate %1

ENGINE_4_NAME    | Motores de impulso 
ENGINE_4_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase V en combate.
ENGINE_4_ITEM    | Impulso
ENGINE_4_ITEM2   | Clase 5
ENGINE_4_BRIEF   | Curvatura 5  Def %1
ENGINE_4_BRIEF2  | Velocidad de combate %1

ENGINE_5_NAME    | Tracción ionica
ENGINE_5_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase VI en combate..
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Clase 6
ENGINE_5_BRIEF   | Curvatura 6  Def %1
ENGINE_5_BRIEF2  | Velocidad de combate %1

ENGINE_6_NAME    | Motores de antimateria
ENGINE_6_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase VII en combate.
ENGINE_6_ITEM    | Antimateria
ENGINE_6_ITEM2   | Clase 7
ENGINE_6_BRIEF   | Curvatura 7  Def %1
ENGINE_6_BRIEF2  | Velocidad de combate %1

ENGINE_7_NAME    | Tracción interfásica
ENGINE_7_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase VIII en combate.
ENGINE_7_ITEM    | Interfase
ENGINE_7_ITEM2   | Clase 8
ENGINE_7_BRIEF   | Curvatura 8  Def %1
ENGINE_7_BRIEF2  | Velocidad de combate %1

ENGINE_8_NAME    | Hiperimpulso
ENGINE_8_DETAIL  | Mueve barcos en Curvatura %1 y permite una maniobrabilidad máxima de clase IX en combate.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Clase 9
ENGINE_8_BRIEF   | Curvatura 9  Def %1
ENGINE_8_BRIEF2  | Velocidad de combate %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Pilas de combustible
FUELRANGE_0_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_1_NAME   | Pilas de combustible de hidrógeno
FUELRANGE_1_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_2_NAME   | Pilas de combustible de deuterio
FUELRANGE_2_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_3_NAME   | Pilas de combustible de irridio
FUELRANGE_3_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_4_NAME   | Pilas de combustible de dotomite
FUELRANGE_4_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_5_NAME   | Pilas de combustible de uridiuo
FUELRANGE_5_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_6_NAME   | Pilas de combustible de reajax II
FUELRANGE_6_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_7_NAME   | Cristales de trilitio
FUELRANGE_7_DETAIL | Las reservas de combustible permiten que las naves se muevan hasta %1 años luz de distancia de los planetas colonia.

FUELRANGE_8_NAME   | Pilas torio
FUELRANGE_8_DETAIL | Las reservas de combustible permiten que las naves se alejen a cualquier distancia de los planetas colonia.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Computadora futurista I
FUTURECOMP_0_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_1_NAME    | Computadora futurista II
FUTURECOMP_1_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_2_NAME    | Computadora futurista III
FUTURECOMP_2_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_3_NAME    | Computadora futurista IV
FUTURECOMP_3_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_4_NAME    | Computadora futurista V
FUTURECOMP_4_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_5_NAME    | Computadora futurista VI
FUTURECOMP_5_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_6_NAME    | Computadora futurista VII
FUTURECOMP_6_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_7_NAME    | Computadora futurista VIII
FUTURECOMP_7_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_8_NAME    | Computadora futurista IX
FUTURECOMP_8_DETAIL  | Mejoras generales en la tecnología de computadoras.

FUTURECOMP_9_NAME    | Computadora futurista X
FUTURECOMP_9_DETAIL  | Mejoras generales en la tecnología de computadoras. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Construcción futurista I
FUTURECONST_0_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_1_NAME    | Construcción futurista II
FUTURECONST_1_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_2_NAME    | Construcción futurista III
FUTURECONST_2_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_3_NAME    | Construcción futurista IV
FUTURECONST_3_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_4_NAME    | Construcción futurista V
FUTURECONST_4_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_5_NAME    | Construcción futurista VI
FUTURECONST_5_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_6_NAME    | Construcción futurista VII
FUTURECONST_6_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_7_NAME    | Construcción futurista VIII
FUTURECONST_7_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_8_NAME    | Construcción futurista IX
FUTURECONST_8_DETAIL  | Mejoras generales en la tecnología de la construcción.

FUTURECONST_9_NAME    | Construcción futurista X
FUTURECONST_9_DETAIL  | Mejoras generales en la tecnología de la construcción. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Campo de fuerza futurista I
FUTUREFORCE_0_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_1_NAME    | Campo de fuerza futurista II
FUTUREFORCE_1_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_2_NAME    | Campo de fuerza futurista III
FUTUREFORCE_2_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_3_NAME    | Campo de fuerza futurista IV
FUTUREFORCE_3_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

