// race-specific variables (must start with _)
_empire                           | los Nazlokianos, los Sarlokianos, los Spailokianos, los Shadelokianos, los Nazlokianos
GAME_OVER_MILITARY_LOSS2          | El final de su búsqueda, el final de su gente...#Una tragedia inimaginable ha caído sobre su imperio. Una vez que una raza desesperada por descubrir los secretos del evento que arrojó a sus antepasados ​​de su universo moribundo a esta dimensión alienígena, su civilización yace en la ruina total a los pies de habitantes mucho más poderosos de lo que podría esperar enfrentar. Si hubieran conocido su situación, podrían haber sido más misericordiosos, tal vez incluso brindándole ayuda, o al menos más tolerantes con los medios que utilizó para lograr sus fines. En cambio, solo ha logrado la muerte prematura de su especie mientras otros poderes continúan su marcha hacia lo que sea que les depare el futuro.#¡Ay de que los Nazlokianos se enfrenten a este destino! Si hubiera jugado su mano de manera diferente, sería posible que su gente aún estuviera viva e incluso que hubiese encontrado la clave que le permitiría llevar al resto de su raza a este nuevo plano más estable. Quizás, sin embargo, sus cartas no podrían haber sido mejor jugadas: quizás el destino simplemente decidió darle una mano muy desafortunada...
GAME_OVER_MILITARY_WIN2           | Terminada la primera fase, comienza la verdadera prueba...#¡Esta galaxia es suya! Así como su gente dominó el universo del que procedían, también ha aplastado a la débil oposición en esta galaxia y reclamado todo lo que contiene como propio. Las tácticas que empleó resultaron demasiado para que sus enemigos las superaran, y el sigilo y el secreto que empleó para obtener sus secretos lo resultaron aún más. Ahora, mientras las últimas fortalezas de sus enemigos caen bajo su poder, contempla las estrellas que se amontonan alrededor del futuro hogar permanente de los Nazlokianos.#Pero su trabajo aún no está cerca de completarse. Ha aprendido a vivir en esta dimensión alienígena y ha hecho que toda una galaxia sea segura para que su gente la habite y prospere. Sin embargo, los secretos de la grieta interdimensional que trajo a su raza aquí en primer lugar aún no se han descubierto, y cada día que pasa aquí significa que su universo natal se acerca más a su inevitable colapso. Y si alguno de los imperios que destruiste ya tenía el secreto, su conquista militar aún puede haber resultado ser su perdición...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Terminada la primera fase, comienza la verdadera prueba...#¡Ahora es la hora de su primera victoria verdadera! Cuando su gente fue arrojada a esta dimensión, la encontraron aterradora, ajena y peligrosa. Pero en lugar de acobardarse y ganarse la vida lo mejor que pudieron, avanzaron audazmente, prometiendo dominar los secretos de esta galaxia y hacerla segura para traer al resto de su gente desde su plano agonizante. En el camino, se hicieron enemigos y amigos, y se preparó el escenario para el mayor desafío que su gente jamás conocería.#Junto con sus aliados, ha logrado desmantelar a aquellos que se oponían a sus objetivos y hacerlos estallar en sus flotas como la marea rompe contra la orilla. Ahora solo quedan usted y sus amigos cercanos, y a través de la afinidad que solo se puede obtener compartiendo la victoria de la guerra, felizmente ayudará a sus aliados en sus cargas como ellos le ayudarán a usted en las suyas. Y una vez que su gente cruce las dimensiones de forma segura y su verdadero imperio renazca, solo aquellos que hayan demostrado ser fieles a su causa podrán vivir en un universo que sin duda será suyo...
GAME_OVER_COUNCIL_LOSS2           | Sus planes frustrados, su búsqueda en peligro...#Sus planes han sido revelados a la galaxia, y aunque ninguno puede esperar igualar su habilidad en el subterfugio, los ojos de sus rivales demostraron ser demasiado vigilantes para que incluso usted los eluda. Con la forja de la Nueva República y el futuro de la galaxia por determinar, los votos de los miembros del consejo han demostrado desbaratar sus bien trazados planes. ¡El futuro pertenece a la raza %6!#Intentar obtener la capacidad de dirigir el curso de la galaxia era una estrategia ambiciosa. Si sus maquinaciones diplomáticas hubieran sido más sutiles, es muy posible que toda la voluntad de la galaxia se hubiera inclinado al servicio de su misión. Ahora tendrá que someterse a la voluntad de la raza %6, pero cada día que pasa trae a aquellos varados en el colapso del universo del que viene usted un día más cerca de un destino más terrible de lo que se atreve a imaginar...
GAME_OVER_REBELLION_LOSS2         | El final de su búsqueda, el final de su gente...#El destino nunca ha favorecido a su gente desde su llegada a este plano poco acogedor. No les favoreció cuando fueron arrojados a una dimensión donde ninguna de sus tecnologías funcionaba correctamente. No les favoreció que los habitantes nativos de esta galaxia votaran en su contra para liderar la Nueva República. Y ahora, al final de todo, no le favoreció cuando atacó a sus rivales para asegurar no solo el liderazgo de la galaxia, sino también su propia supervivencia.#Su gente era tenaz, fuerte y decidida, pero sus mejores esfuerzos y voluntad de ganar por cualquier medio necesario simplemente no fueron suficientes para otorgarles la victoria contra el poder abrumador de los ejércitos de la Nueva República. Su valentía era digna de recordar: nadie podía discutirlo. Pero a medida que el último de sus ejércitos, y sus propios mundos, caen ante sus enemigos, su imperio roto yace derrotado, roto y pronto será olvidado...
GAME_OVER_REBELLION_WIN2          | Terminada la primera fase, comienza la verdadera prueba...#¡Ahora por fin estos tontos inferiores ven su poder y voluntad desatados! En vano, sus enemigos trataron de obstaculizarlo en la búsqueda de liberar a tu sangre varada de su destino final, y usaron todos los trucos que pudieron para obstruirlo. Desde amenazas hasta espionaje y hostilidad abierta, su deseo de evitar que usted alcance su objetivo alcanzó su punto máximo cuando votaron en su contra para liderar la Nueva República a pesar de que era el más digno de hacerlo. Con pocas opciones y sin remordimientos de conciencia, desató sobre ellos la misma furia espantosa que condujo a su pueblo al dominio total del universo de donde vinieron.#Ahora esta galaxia es suya, y aunque queda poco tiempo antes de que su plano de origen se derrumbe y los que queden atrás sufran un destino peor que la muerte, al menos ahora no queda nadie en esta dimensión que se le oponga. ¡Ahora por fin estos tontos inferiores ven su poder y voluntad desatados! O al menos lo harían, si alguno de ellos quedaba con vida para hacerlo...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Terminada la primera fase, comienza la verdadera prueba...#Desde el principio sabía que los habitantes de esta galaxia nunca confiarían voluntariamente en usted para liderar una alianza unificada de imperios espaciales. Deshonestos y desconfiados, los imperios nativos que habitan este plano hicieron todo lo posible para frustrar sus planes y votaron alegremente en su contra cuando comenzó la formación de la Nueva República. Pero es usted sabio y astuto, y al ver maquinaciones de ellos tan fácilmente como uno lee las palabras en una página, enfocó sus esfuerzos diplomáticos solo en aquellos más dignos de estar a su lado. Y cuando llegó el momento en que sus enemigos pensaron que lo habían atrapado, se encontraron en una trampa que había sido puesta hacía mucho tiempo ya.#Ahora usted y sus aliados son victoriosos sobre las cenizas de aquellos que se atrevieron a creerse superiores a ustedes. El destino de la galaxia está en sus manos, ya que es libre de encontrar una manera de llevar a su sangre varada a través de las barreras dimensionales y hacia un nuevo universo listo para tomar. Y si aquellos que elegió como camaradas le obstruyen sus objetivos, los tratará tan decisivamente como trató a todos los demás...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Terminada la primera fase, comienza la verdadera prueba...#Hace mucho tiempo, un pequeño grupo de su gente fue expulsado de su universo moribundo y empujado a este plano nuevo y extraño. A medida que comenzó a buscar una manera de traer a aquellos que estaban varados para que se unieran a usted en esta galaxia nueva y estable, sus encuentros con aquellos que ya habitaban entre estas estrellas le enseñaron rápidamente que no sería capaz de encontrar las respuestas que buscaba mientras libraba guerras pequeñas y prolongadas. En cambio, buscó manipular el curso de la historia mientras estaba velado por las sombras, y ahora, por fin, esos planes se han hecho realidad.#La raza %7 ha asumido el dominio de la Nueva República y ha demostrado ser maleable y receptivo a sus diseños y su consejo. Como confidentes y asesores, su gente está en una posición única para dirigir el poder de la propia galaxia bajo el liderazgo de su aliado. Está demasiado alejado de la autoridad directa como para sentir la reacción negativa si las cosas fallan. Si tiene éxito, el refuerzo de sus filas con la llegada de sus semejantes perdidos hace mucho tiempo será más que suficiente para comenzar una nueva era e inclinar la balanza abrumadoramente a su favor...
GAME_OVER_COUNCIL_WIN2            | Terminada la primera fase, comienza la verdadera prueba...#Las cámaras del consejo estallan en aplausos cuando comienza su reinado como Maestro de la Nueva República. Humildemente acepta la carga de la administración que le han otorgado los imperios que componen el Consejo Galáctico, sabiendo que este fin fue el resultado de un plan que se preparó durante mucho tiempo. Poco después de que su gente llegara a esta dimensión y se enterara de sus misterios, sabía que sería imposible para usted solo encontrar una manera de permitir que sus hermanos y hermanas atrapados hicieran el viaje a este plano antes de que su universo colapsara por completo. Ahora, después de años y años de diplomacia, sigilo y manipulación política, ya no tiene que hacerlo.#Ahora, esta galaxia es suya para moldearla y esculpirla y seguir el curso que le parezca mejor. Pronto aprovechará la tecnología, la fuerza y la innovación de sus aliados para ayudarle a abrir un portal a su hogar y reconstruir su civilización aquí con tantos de su gente como pueda introducir. Y si alguien se atreve a intentar detenerlo, ahora tiene los ejércitos de la Nueva República para aplastar su disidencia de una vez por todas....
GAME_OVER_COUNCIL_MILITARY_WIN2   | Terminada la primera fase, comienza la verdadera prueba...#Ahora su gobierno de esta galaxia está reivindicado en palabra y obra. Después de incontables años de manipular a sus rivales interestelares para que le ayuden a alcanzar sus objetivos, sus planes finalmente se hicieron realidad cuando obtuvo el título de "Maestro de la Nueva República". Y cuando las voces de sus disidentes se alzaron contra usted, ya había puesto en marcha planes dentro de planes que le permitieron sofocar la rebelión de manera decisiva. Lucharon, usted ganó y ahora toda la galaxia es suya para hacer lo que quiera.#Con sus enemigos convertidos en polvo y esparcidos por los vientos solares, dirige su atención a su verdadero objetivo: para encontrar una manera de llevar a su pueblo dividido a través del abismo dimensional y hacia este universo nuevo y estable donde su imperio puede renacer. Nadie se atrevería a hablar en contra de usted ahora, no después de ver lo que les pasó a aquellos lo suficientemente tontos como para hacerlo...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | El final de su búsqueda, el final de su gente...#El destino más triste que podría haber logrado para su pueblo se ha hecho realidad. Su inigualable habilidad para el subterfugio y la manipulación ha sido frustrada por especies inferiores que no podían esperar comprender el gran trabajo que estaba usted tratando de lograr. Aunque tuvo éxito en la monumental tarea de convertirse en el gobernante electo de la galaxia mientras aún mantenía el secreto que envolvía sus objetivos, no pudo sofocar la rebelión que pronto se levantó para enfrentarse a su floreciente gobierno.#Ahora es demasiado tarde para que dirija el futuro de la galaxia por el camino que considere adecuado. La rebelión ha dejado a la Nueva República como nada más que ruinas para que los vencedores saqueen y construyan. Y la muerte de los Nazlokianos sella el destino de aquellos que permanecen atrapados en un universo condenado del que no tienen esperanza de escapar. Su fracaso ha sellado el destino de su imperio en no uno sino dos universos y, como tal, es más monumental de lo que cualquiera de sus enemigos podría siquiera comprender....

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | el control sombrío de los Nazlokianos atrapa
GAME_OVER_REBELLION_LOSS3         | Las maquinaciones incognoscibles de los Nazlokianos.
