// race-specific variables (must start with _)
_empire                           | Clan Fiershan, Clan Prrshan, Clan Meowshan, Clan Clawshan, Clan Hisshan
GAME_OVER_REBELLION_WIN2          | ¡Los tesoros de esta galaxia son suyos para tomarlos!#El tiempo de los Kanatos por fin ha comenzado. Desde el principio de su incursión en la galaxia inexplorada, se encontró con civilizaciones espaciales que buscaban sus propios objetivos entre el mar de estrellas. Sin embargo, a pesar de sus culturas avanzadas e innovaciones tecnológicas, todos han caído ahora ante usted y su ferocidad sin igual. Inicialmente, usted estaba más que satisfecho con dejar que estas civilizaciones continuaran como hasta ahora, dando a su gente fuentes interminables de tesoros impresionantes para ganar en sus incursiones. Pero cuando decidieron formar una nueva unión en lo que sin duda era un intento de impedir que su gente siguiera con su estilo de vida, usted tomó la única respuesta adecuada para aquellos que se atrevieron a oponersele.#Con su astucia, habilidad y tenacidad en el campo de batalla contra las flotas de sus imperios rivales, su rebelión contra el nuevo orden galáctico ha terminado con una victoria completa y total. El botín de miles de mundos yace abierto e indefenso, porque aquellos que lo custodiaban han sido apartados de su camino con sus propias manos. ¡Tomelos, Kan Dorado! Aumente su tesoro y prepare a su gente para el botín que se encuentra en las galaxias más allá...
GAME_OVER_REBEL_ALLIANCE_WIN2     | El botín de esta galaxia para usted y sus aliados...#Fue una decisión fácil levantar su estandarte en rebelión contra la Nueva República. Sabía que la galaxia pensaba mal de su gente y de su forma de vida. A medida que las historias de su destreza marcial y las aterradoras incursiones que ejecutó en imperios rivales se extendieron por toda la galaxia, sabía que una orden galáctica unida representaría una amenaza insuperable para usted una vez que se hubiera formado. Como un verdadero líder de las leyendas de su antiguo pueblo, actuó más rápido de lo que otros podían anticipar y atacó esta orden en una guerra abierta. Y cuando lo hizo, impedió que sus enemigos encontraran el equilibrio que necesitarían para abrumar a las flotas del Kanato.#Para su gran placer, encontró a otros insatisfechos con la forma que comenzaba a tomar el futuro y, a cambio de una pequeña parte del botín, forjó una nueva alianza que lo ayudó a afirmar su dominio sobre las fuerzas lamentablemente mal preparadas que se reunían contra usted. Sus rivales han sido eliminados por completo, y los aliados que hizo no tendrán ninguna posibilidad contra su poder si alguna vez dejen de serle útiles. Todo lo que queda ahora es que tome aquello por lo que tanto ha luchado...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Su botín, al menos, estará a salvo en esta nueva era...#A nadie sorprende que el Consejo Galáctico no vea su grandeza y se niegue a otorgarle el liderazgo de la Nueva República. Sus incursiones en otros imperios han hecho que su gente sea impopular, y pocos están dispuestos a mirar más allá de sus normas culturales para comprender a su gente en un nivel verdaderamente significativo. Pero ya sea por ingenuidad o por el sentido de autenticidad que ha ganado a tantos otros para su causa, usted fue capaz de encontrar puntos en común con la raza %6, y sabiendo que sería la mejor jugada para su gente, ha ayudado a elegir ellos como líderes de la era venidera.#Con gratitud y amabilidad, usted ha podido asegurar la seguridad de su botín sin necesidad de pagar reparaciones a aquellos a quienes se los había quitado gracias a la generosidad de sus aliados %6. Al negociar esta paz, ha accedido a regañadientes a poner fin a sus incursiones, y ahora debe explorar nuevos caminos para aprovechar los deseos de su gente. Pero seguramente esto es mejor que el futuro de cierta aniquilación que enfrentaría si hubiera elegido rebelarse contra su aliado...
GAME_OVER_COUNCIL_WIN2            | Esta galaxia y sus tesoros le pertenecen a usted y solo a usted.!#El día más grandioso en la historia de su pueblo ha llegado por fin: el Kan Dorado se ha convertido en el Maestro de la Nueva República. Desde el principio, su gente se ganó una aterradora reputación de saqueadores violentos. Aunque se han hecho muchas protestas contra usted en el pasado, todas las voces se silencian cuando el Consejo Galáctico reconoce su fuerza insuperable. Seguramente algunos de los imperios que ayudaron a elegirlo esperan convertirse en auténticos amigos de su pueblo, pero usted sabe que la mayoría de los que lo pusieron aquí lo hicieron por miedo a despertar su ira. ¡Y no preferiría que fuera diferente!#A partir de este día, todos los imperios de la Nueva República le rendirán tributo. Y por el crimen de tratar de oponerse a usted en las cámaras del consejo, los imperios que votaron en contra de su ascensión estarán sujetos para siempre a las incursiones de su gente, nunca más obtendrán el poder que necesitarían para levantarse contra usted. La galaxia pertenece a los Fiershan y seguirá sumisa a usted hasta el final de los tiempos. ¡Salve la nueva era y salve el Kan Dorado!
GAME_OVER_COUNCIL_MILITARY_WIN2   | El botín de esta galaxia para usted y sus aliados...#Ahora su glorioso reinado puede realmente comenzar. La destreza legendaria de su gente en el campo de batalla y las historias de las terribles incursiones que llevaron a cabo resultaron en que usted se convirtiera en el Maestro de la Nueva República. Pero a pesar de que muchos temían despertar su ira lo suficiente como para estar en línea con sus deseos, todavía había algunos que eran demasiado tontos para dejarse influir por sus demostraciones de poder. Ansiosos por tomar posesión del tesoro de ellos y agregarlo a sus crecientes hordas, su gente se adelantó para aplastar la rebelión y reclamar sus recompensas, esta vez con el apoyo de todo el ejército unido de la Nueva República que ahora usted gobierna.#La rebelión terminó antes de que comenzara y los ejércitos de los usurpadores fueron derrotados con un mínimo esfuerzo. Con sus tesoros reunidos, los Fiershan rebuscan entre los despojos y tiran la basura para entregarla como recompensa a los imperios menores que le sirven. Con los rebeldes sirviendo como ejemplo de lo que sucede cuando estás disgustado, hay pocas razones para que crea que algún rival volverá a darse a conocer. Dirija su atención ahora a otras galaxias, ya que tienen presas desafortunadas esperando a ser cazadas, e incluso más tesoros brillantes para agregar a su colección...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Sus preciados tesoros ahora libres para ser tomados...#Aunque inicialmesnte pudo usar el miedo para aplastar la disidencia de sus rivales y convertirse en el Maestro de la Nueva República, hubo algunos lo suficientemente valientes como para oponerse a usted y al futuro que imaginó. Su gente era orgullosa y fuerte, decorada con el botín de innumerables incursiones y ansiosa por obtener más tesoros de otra inevitable conquista. Pero no vieron, o no pudieron ver, el peligro que representaba la rebelión, y el coraje inquebrantable que demostraron los rebeldes demostraría ser el fin de ustedes.#Aunque se jactó de ser superior en número al utilizar las flotas de aquellos a los que sometió con mano dura, no pudo evitar que la insurrección desestabilizara la república y lo derribara del trono. Primero cayeron sus subordinados seguidos poco después por su gente. Parece que al final la propia galaxia eligió contra el futuro que usted tenía planeado. Después de todo, ¿cuál es la voluntad de un pueblo, por fuerte que sea, contra la mano indomable del destino?..

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | la codicia insaciable de los Fiershan engulle
GAME_OVER_REBELLION_LOSS3         | La lujuria por tesoro de los Fiershan
